"iso3num_o","iso3num_d","year","iso3_o","iso3_d","distw_harmonic","contig","comcol","comlang_off","gdp_o","gdp_d","gdpcap_o","gdpcap_d","fta_wto","tradeflow_baci"
533,4,2019,"ABW","AFG",13184,0,0,0,3310055.866,18799450.743,31.1359996795654,0.493999987840652,0,440.339
533,24,2019,"ABW","AGO",9572,0,0,0,3310055.866,69309104.807,31.1359996795654,2.17799997329712,0,10.039
533,784,2019,"ABW","ARE",12772,0,0,0,3310055.866,417215559.513,31.1359996795654,42.701000213623,0,863.826
533,32,2019,"ABW","ARG",5151,0,0,1,3310055.866,452818426.183,31.1359996795654,10.076000213623,0,0.003
533,28,2019,"ABW","ATG",1016,0,0,0,3310055.866,1687533.333,31.1359996795654,17.3770008087158,0,2.039
533,40,2019,"ABW","AUT",8716,0,0,0,3310055.866,445011872.704,31.1359996795654,50.1139984130859,1,175.861
533,56,2019,"ABW","BEL",7852,0,0,1,3310055.866,535376258.147,31.1359996795654,46.5989990234375,1,282.351
533,48,2019,"ABW","BHR",12303,0,0,0,3310055.866,38653318.085,31.1359996795654,23.5520000457764,0,3.825
533,60,2019,"ABW","BMU",2254,0,0,0,3310055.866,7423465,31.1359996795654,116.15299987793,0,8.5
533,52,2019,"ABW","BRB",1132,0,0,0,3310055.866,5304164.323,31.1359996795654,18.4799995422363,0,31.411
533,124,2019,"ABW","CAN",4085,0,0,0,3310055.866,1742015045.482,31.1359996795654,46.3289985656738,0,791.066
533,756,2019,"ABW","CHE",8061,0,0,0,3310055.866,731767398.053,31.1359996795654,85.3349990844727,0,804.634
533,156,2019,"ABW","CHN",14921,0,0,0,3310055.866,14279937500.608,31.1359996795654,10.1440000534058,0,53.923
533,170,2019,"ABW","COL",857,0,0,1,3310055.866,323109543.324,31.1359996795654,6.41900014877319,0,812.836
533,188,2019,"ABW","CRI",1563,0,0,1,3310055.866,64417670.083,31.1359996795654,12.7620000839233,0,1.411
533,203,2019,"ABW","CZE",8594,0,0,0,3310055.866,252498032.247,31.1359996795654,23.6599998474121,1,5.903
533,276,2019,"ABW","DEU",8239,0,0,0,3310055.866,3888326788.627,31.1359996795654,46.7949981689453,1,120.342
533,208,2019,"ABW","DNK",8403,0,0,0,3310055.866,347561349.211,31.1359996795654,59.7760009765625,1,0.529
533,214,2019,"ABW","DOM",677,0,0,1,3310055.866,88941299.734,31.1359996795654,8.2819995880127,0,11986.931
533,218,2019,"ABW","ECU",1848,0,0,1,3310055.866,108108009,31.1359996795654,6.22300004959106,0,50.862
533,724,2019,"ABW","ESP",7253,0,0,1,3310055.866,1393046093.137,31.1359996795654,29.5540008544922,1,51.063
533,246,2019,"ABW","FIN",9062,0,0,0,3310055.866,268508200.125,31.1359996795654,48.6290016174316,1,0.013
533,250,2019,"ABW","FRA",7720,0,0,0,3310055.866,2728870246.706,31.1359996795654,40.5789985656738,1,85.014
533,826,2019,"ABW","GBR",7462,0,0,0,3310055.866,2878673912.414,31.1359996795654,43.0699996948242,1,70.275
533,288,2019,"ABW","GHA",7590,0,0,0,3310055.866,68337537.816,31.1359996795654,2.24699997901917,0,48.87
533,300,2019,"ABW","GRC",9465,0,0,0,3310055.866,205144152.831,31.1359996795654,19.1340007781982,1,3.395
533,308,2019,"ABW","GRD",902,0,0,0,3310055.866,1213485.185,31.1359996795654,10.8339996337891,0,2.77
533,328,2019,"ABW","GUY",1448,0,0,0,3310055.866,5173760.192,31.1359996795654,6.6100001335144,0,397.178
533,344,2019,"ABW","HKG",16127,0,0,0,3310055.866,363052489.184,31.1359996795654,48.3559989929199,0,293.839
533,340,2019,"ABW","HND",1907,0,0,1,3310055.866,25089976.947,31.1359996795654,2.57399988174438,0,156.422
533,360,2019,"ABW","IDN",18991,0,1,0,3310055.866,1119099868.265,31.1359996795654,4.13500022888184,0,62.951
533,356,2019,"ABW","IND",14888,0,0,0,3310055.866,2831552222.52,31.1359996795654,2.07200002670288,0,353.674
533,372,2019,"ABW","IRL",7167,0,0,0,3310055.866,399122063.504,31.1359996795654,80.8870010375977,1,0.821
533,380,2019,"ABW","ITA",8393,0,0,0,3310055.866,2011285742.552,31.1359996795654,33.6730003356934,1,183.818
533,388,2019,"ABW","JAM",946,0,0,0,3310055.866,15830768.55,31.1359996795654,5.36899995803833,0,51.046
533,400,2019,"ABW","JOR",10742,0,0,0,3310055.866,44502895.915,31.1359996795654,4.40500020980835,0,4787.872
533,410,2019,"ABW","KOR",14254,0,0,0,3310055.866,1651422932.448,31.1359996795654,31.9020004272461,0,0.97
